population_share,out_strength_lorenz,in_strength_lorenz
0.2873051224944321,0.017089932697677446,0.01680894884606383
0.28953229398663693,0.01751391258763553,0.01721640906823617
0.29175946547884185,0.01793893897238547,0.017625663281480262
0.29398663697104677,0.018364937102299275,0.018039551971659726
0.2962138084632517,0.018793252470680765,0.018460392377242237
0.29844097995545654,0.01922395982715793,0.018887885499715838
0.30066815144766146,0.019655489429542983,0.019322255587964503
0.3028953229398664,0.020087168531184012,0.019759914659844717
0.30512249443207123,0.020520791123152776,0.02020422644861602
0.30734966592427615,0.020967195901507796,0.020648837235899286
0.30957683741648107,0.02141584316870251,0.02109718550458204
0.311804008908686,0.021865985428457017,0.021551364244247997
0.31403118040089084,0.022316875184491426,0.02200718747572973
0.31625835189309576,0.02276918518345764,0.022463459204979403
0.3184855233853007,0.023223887170519524,0.02292062792976495
0.32071269487750553,0.023679635652373267,0.023380263392274163
0.32293986636971045,0.024140242860046346,0.02384161809622714
0.32516703786191536,0.024601298565487366,0.02430446779273991
0.3273942093541203,0.02506594225307189,0.024768139735160573
0.32962138084632514,0.02553066069028441,0.025234353164932888
0.33184855233853006,0.02600838556276715,0.025703631329452782
0.33407572383073497,0.02649022166478933,0.026173058993228655
0.33630289532293983,0.026980055977006416,0.026644430147332265
0.33853006681514475,0.027470413536619432,0.027116025550319844
0.34075723830734966,0.02796630256870369,0.027589265445123197
0.3429844097995545,0.028477590024153846,0.028074913778172856
0.34521158129175944,0.028991194718071687,0.02857222305318892
0.34743875278396436,0.029507639897853138,0.029077306289515922
0.34966592427616927,0.030025281071682425,0.029588070497570153
0.35189309576837413,0.030542996995139706,0.030103020684791808
0.35412026726057905,0.031069981872467716,0.030621633603784962
0.35634743875278396,0.031597265748307686,0.03114226476273384
0.3585746102449888,0.0321315760891787,0.0316769488517448
0.36080178173719374,0.03266611067893368,0.03221395017922345
0.36302895322939865,0.033205055496740056,0.03275618398066137
0.36525612472160357,0.03374766304631793,0.03330320175829065
0.36748329621380843,0.03429415757655128,0.03385208827661967
0.36971046770601335,0.0348422965986004,0.034401498042344617
0.37193763919821826,0.03539626609163273,0.03495793427310061
0.3741648106904231,0.03595457106308846,0.035517509988232165
0.37639198218262804,0.03652199548915895,0.036082093928439044
0.37861915367483295,0.03709143815518516,0.03665953480466016
0.38084632516703787,0.03766125456935132,0.037239143420092984
0.38307349665924273,0.03823592970933682,0.03781935003254973
0.38530066815144765,0.03881187559299814,0.038410918588460914
0.38752783964365256,0.039391259959546995,0.03900443063469984
0.3897550111358574,0.03997326056307549,0.03959943767349856
0.39198218262806234,0.04055541066585997,0.040198780190720686
0.39420935412026725,0.04113815876566836,0.04079924395236266
0.39643652561247217,0.04172292510543248,0.041404117942056035
0.39866369710467703,0.04230903693850042,0.0420141496560807
0.40089086859688194,0.04289679326338413,0.042624854116757274
0.40311804008908686,0.04348724057487547,0.043237502067761585
0.4053452115812917,0.0440777626359948,0.04385291575500152
0.40757238307349664,0.044672022178513626,0.04446900218889336
0.40979955456570155,0.04528078314886246,0.045089274601952625
0.41202672605790647,0.04589941107010596,0.04571455524008721
0.4142538975501113,0.04651826324023342,0.046340284375989735
0.41648106904231624,0.04714130138952831,0.04696990049254773
0.41870824053452116,0.04776478803659114,0.04760213284608536
0.420935412026726,0.04839881438120053,0.048237579433626554
0.42316258351893093,0.049039867190840955,0.048881397979502604
0.42538975501113585,0.04968234024341319,0.049532242990409696
0.4276169265033407,0.05032481329598543,0.05018675073308829
0.4298440979955456,0.05097109857958514,0.050843127216466624
0.43207126948775054,0.051618131359464754,0.05149980269835692
0.43429844097995546,0.052267107629672106,0.05216470063932609
0.4365256124721603,0.05291832638871914,0.05283116832248305
0.43875278396436523,0.05357582411651733,0.05349942999671176
0.44097995545657015,0.054239152315298717,0.05417666162629925
0.443207126948775,0.05490322801036,0.05485748123803025
0.4454342984409799,0.055579786893295575,0.05554443031925641
