station_name,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,pagerank,eigenvector
Käskynhaltijantie,188,187,5415.0,4622.0,0.0,118.51993590255442,0.0010328892476135774,0.00039786833874763287
Malmin sairaala,75,65,836.0,763.0,0.0,33.08195295348744,0.0010201034497325026,1.8428082154012272e-05
Muotoilijankatu,234,231,10235.0,10385.0,0.0,144.89532668636457,0.00101826101780929,0.004261006986161575
Herttoniemen kirkko,173,170,7333.0,6172.0,0.0,130.3268736236058,0.0010143428403781305,0.0012204040522150815
Laulurastaantie,58,58,630.0,661.0,0.0,33.05127737001754,0.0010090932805535686,3.972861526346334e-06
Siilitie 13,117,138,4834.0,3950.0,0.0,115.8659366207814,0.0010069981997947856,0.00015349976947534217
Lystimäki,110,99,5699.0,6116.0,0.0,147.75337728992292,0.0010037749606248863,0.0001267799821837144
Kustaankartano,206,195,6162.0,5324.0,0.005089485458612976,115.00478196442376,0.0010021457003368346,0.000755638477451037
Tietäjä,158,177,7823.0,6098.0,0.00011241891785549672,118.7941434520493,0.0009997656247495816,0.00031068633823303106
Tilketori,82,81,836.0,831.0,0.0,31.044445513059483,0.0009993238369409923,2.4819238970978687e-05
Savela,119,134,1510.0,1739.0,0.006968680089485459,74.45937883048464,0.0009831287234272764,0.0001074391004395768
Leikosaarentie,56,60,1093.0,1027.0,0.0,43.852551614892086,0.0009800630773800605,5.59655308932482e-06
Haakoninlahdenkatu,74,82,3450.0,4063.0,0.0,109.41813571884701,0.0009784009078440197,0.0001463702091501921
Vanha Tapanilantie,73,82,631.0,674.0,0.0,29.105128341117496,0.0009705228837010678,1.6938235691792427e-05
Kannelmäen liikuntapuisto,97,101,1155.0,1200.0,0.0,68.2334047583805,0.0009622145279609672,2.9789536656948273e-05
Jakomäki,53,58,460.0,437.0,0.00021252796420581657,26.564569216034823,0.0009568531922737963,4.256897839086412e-06
Postipuun koulu,142,143,4659.0,4340.0,0.0,93.1029032982888,0.0009551299250179086,9.878701196195061e-05
Rapakiventie,122,115,1355.0,1335.0,0.0,47.496760955744065,0.0009547883651586531,0.00010029679779114722
Töyrynummi,59,59,438.0,497.0,0.0,28.3845252176672,0.0009530833382717768,1.6255957892297446e-06
Innopoli,173,164,6051.0,5630.0,0.0,95.96734639250228,0.000951706370488437,0.0002771362957711976
Kirkkoherrantie,188,186,5972.0,5811.0,0.0,121.86369686591266,0.0009509053669151296,0.0009315170448640907
Korkeasaari,182,180,12232.0,12175.0,0.0,149.38604626094644,0.000950462330384007,0.006552016155415624
