station_name,latitude,longitude,community,pagerank
Kauppakeskus Kaari,60.236330550183894,24.8894796721591,inf_1,0.002164672256074863
Sateentie,60.173424,24.810688,inf_3,0.0016589648528518594
Derby Business Park,60.209017,24.835356,inf_8,0.00044669540937719083
Olympiastadion,60.1844935075188,24.924961245284003,inf_6,0.004452601932279424
Kriikunakuja,60.2056784923064,24.8916816998729,inf_1,0.0015147797805241388
Töyrynummentie,60.27196238394679,25.0039702918602,inf_9,0.0008504429892655917
Hietaniemenkatu,60.1733331469852,24.9076704246974,inf_7,0.003486868935988111
Tiistiläntie,60.15675499999999,24.737664,inf_3,0.001296166137220467
Majurinkulma,60.21073499999999,24.824954,inf_8,0.0023368956877496713
Gransinmäki,60.222154,24.804898,inf_8,0.0007605800841849917
Säterinniitty,60.214666,24.800486,inf_8,0.001292063939328173
Rummunlyöjänkatu,60.21726100000001,24.806279,inf_8,0.0017175178562600561
Malminkartanonhuippu,60.25040779263511,24.8486486878388,inf_1,0.000606123257755559
Haakoninlahdenkatu,60.1688685506822,25.0208609553502,inf_5,0.00097840090784402
Toppelundintie,60.1591405,24.782477,inf_3,0.001036260024652914
Tupasaarentie,60.1878871226314,25.0153289779219,inf_5,0.001225927514334062
Ida Aalbergin tie,60.229532676597195,24.8952023541771,inf_1,0.0014509338791927982
Hertanmäenkatu,60.2026940388763,24.9223311437335,inf_6,0.0018743466638780344
Sinkilätie,60.2329614527257,25.1110602327979,inf_5,0.0008857656354728906
Kustaankatu,60.18820730428611,24.9559903941467,inf_6,0.0018050417837153084
Kurkimäki,60.2282903943644,25.0716416497357,inf_5,0.0006788962397703564
Kasarmitori,60.165017172741,24.9494728793816,inf_0,0.002688902585643534
Hakuninmaa,60.252967146995005,24.8970699007855,inf_1,0.000782708867237351
Eerikinkatu,60.1677057096398,24.9366415937527,inf_7,0.002060155241648107
Töölönlahdenkatu,60.1721906837527,24.9393079129956,inf_7,0.010572079833608366
Piispankallio,60.168441,24.743532,inf_3,0.0011407022469421852
Rautatieläisenkatu,60.2014381920031,24.9332721002285,inf_9,0.0037083243246212407
Aulangontie,60.2302596315427,24.998580420160103,inf_9,0.0013000514816199678
Teurastamo,60.1896945837642,24.9711566503401,inf_9,0.0038761238400116423
Paciuksenkatu,60.1912061418589,24.8999261202594,inf_1,0.0018788347015123961
Otto Brandtin tie,60.2317840575086,24.9781389181685,inf_9,0.0021925708479600993
Komeetankatu,60.167216,24.735969,inf_3,0.0021467384487024997
Liisanpuistikko,60.17418219161829,24.9613746997628,inf_0,0.004858063417103596
Humikkalankuja,60.229824994827105,25.0900641525363,inf_5,0.0006473267765826534
