station_name,pagerank,betweenness,out_strength,in_strength,z_pagerank,z_betweenness,z_out_strength,z_in_strength,bridge_vs_popularity,pagerank_eps,betweenness_eps
Pirkkolan liikuntapuisto,0.0005730129603075783,0.0,926.0,913.0,-0.9923582843097437,-0.2991432458234928,-0.7011881546235322,-0.6962602216201427,0.693215038486251,0.0005730229603075783,1e-08
Sallatunturintie,0.0005818248073655174,0.0,388.0,310.0,-0.9870719050060706,-0.2991432458234928,-0.7142553935744533,-0.7107967385987082,0.6879286591825777,0.0005818348073655175,1e-08
Bermudankuja,0.0005931646315455709,0.0,6634.0,6653.0,-0.9802689485477288,-0.2991432458234928,-0.5625491212929418,-0.557886079900464,0.6811257027242361,0.000593174631545571,1e-08
Kaustisentie,0.0005954090087756695,0.0,711.0,688.0,-0.9789225078684005,-0.2991432458234928,-0.7064101924942535,-0.7016842951196074,0.6797792620449077,0.0005954190087756696,1e-08
Verkkosaari,0.0005972191863330603,0.0,4517.0,4516.0,-0.9778365510749558,-0.2991432458234928,-0.6139679779083692,-0.6094027246487137,0.678693305251463,0.0005972291863330603,1e-08
Vartioharjuntie,0.0006042253838400064,0.0,601.0,590.0,-0.9736334121354531,-0.2991432458234928,-0.7090819328002039,-0.704046780466041,0.6744901663119602,0.0006042353838400065,1e-08
Etupellonpuisto,0.0006896407631263291,0.002225894573538835,1083.0,1128.0,-0.9223912502702186,-0.24825049806515578,-0.6973748525504939,-0.6910772180539875,0.6741407522050629,0.0006896507631263291,0.002225904573538835
Piikintie,0.0006053755171480673,0.0,588.0,599.0,-0.9729434272916149,-0.2991432458234928,-0.7093976839272708,-0.7038298175260624,0.673800181468122,0.0006053855171480674,1e-08
Malminkartanonhuippu,0.0006061232577555592,0.0,577.0,478.0,-0.9724948447815044,-0.2991432458234928,-0.7096648579578658,-0.7067467637191078,0.6733515989580117,0.0006061332577555592,1e-08
Trumpettikuja,0.0006069033290525272,0.0,605.0,598.0,-0.9720268665321581,-0.2991432458234928,-0.7089847786072603,-0.7038539245193933,0.6728836207086653,0.0006069133290525272,1e-08
Vähäntuvantie,0.000617385442307978,0.0,1283.0,1260.0,-0.9657384656772603,-0.2991432458234928,-0.6925171429033113,-0.6878950949343015,0.6665952198537675,0.0006173954423079781,1e-08
Postipuisto,0.0006357322088455218,0.0,2621.0,2610.0,-0.9547319234307047,-0.2991432458234928,-0.66001906536366,-0.6553506539375129,0.655588677607212,0.0006357422088455218,1e-08
Humikkalankuja,0.0006473267765826533,0.0,514.0,481.0,-0.9477761419109396,-0.2991432458234928,-0.7111950364967283,-0.7066744427391151,0.6486328960874468,0.0006473367765826533,1e-08
Honkasuo,0.0006627833305214251,0.0,572.0,575.0,-0.9385034881403078,-0.2991432458234928,-0.7097863006990454,-0.7044083853660053,0.639360242316815,0.0006627933305214252,1e-08
Pajupillintie,0.0006630064617985345,0.0,851.0,780.0,-0.9383696278318437,-0.2991432458234928,-0.7030097957412257,-0.6994664517331596,0.639226382008351,0.0006630164617985345,1e-08
Lallukankuja,0.0006645890931129847,0.0,607.0,595.0,-0.9374201799611483,-0.2991432458234928,-0.7089362015107884,-0.7039262454993862,0.6382769341376555,0.0006645990931129848,1e-08
Porvarintie,0.000672383451231363,0.0,205.0,215.0,-0.9327442098527828,-0.2991432458234928,-0.7187001979016254,-0.7130869029651489,0.6336009640292901,0.000672393451231363,1e-08
Länsiterminaali,0.0006774508457880659,0.0,8712.0,9190.0,-0.9297041923023233,-0.2991432458234928,-0.5120775180587148,-0.49672663781983256,0.6305609464788304,0.000677460845788066,1e-08
Kurkimäki,0.0006788962397703564,0.0,715.0,651.0,-0.9288370754784163,-0.2991432458234928,-0.7063130383013099,-0.7025762538728527,0.6296938296549235,0.0006789062397703564,1e-08
Kivikonkaari,0.0006877631719433946,0.0,488.0,422.0,-0.9235176496624189,-0.2991432458234928,-0.7118265387508621,-0.7080967553456413,0.6243744038389261,0.0006877731719433947,1e-08
Myllypuro (M),0.00346814278476389,0.07289709172259508,11319.0,10762.0,0.7444801202633019,1.3675723953652776,-0.44875727280769007,-0.4588304443035721,0.6230922751019757,0.00346815278476389,0.07289710172259507
Maununneva,0.0006935243497199887,0.0,624.0,623.0,-0.9200614195709615,-0.2991432458234928,-0.7085232961907779,-0.7032512496861195,0.6209181737474687,0.0006935343497199887,1e-08
Elfvik,0.0006965548268292193,0.0,3040.0,3099.0,-0.9182433839916834,-0.2991432458234928,-0.6498421636528124,-0.6435623341986763,0.6191001381681907,0.0006965648268292193,1e-08
Hakuninmaa,0.0007827088672373507,0.0022371364653243847,525.0,575.0,-0.8665580865566775,-0.24799346398556824,-0.7109278624661333,-0.7044083853660053,0.6185646225711093,0.0007827188672373508,0.0022371464653243847
Hankasuontie,0.000878426001744842,0.004530201342281879,1041.0,1068.0,-0.8091357237375889,-0.1955649376016956,-0.6983949715764023,-0.6925236376538447,0.6135707861358933,0.000878436001744842,0.004530211342281879
Tuukkalantie,0.0007062152033781228,0.0,490.0,496.0,-0.9124479571852453,-0.2991432458234928,-0.7117779616543902,-0.7063128378391507,0.6133047113617525,0.0007062252033781228,1e-08
