experiment_id,rq,aggregation,graph_set,model,alpha,validation_wmape,validation_mae,validation_rmse,validation_mase
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.4,1.7242039012974557,5.329950227836813,741.1327238067402,3.516570586235655
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.45,1.2862018738316245,3.975975211118796,364.3240969463719,2.623251040131577
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.5,1.056057461072675,3.264540638736215,180.66173123541375,2.1538639381272313
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.55,0.9341816741057296,2.8877917646480364,90.7248373693807,1.905294260666361
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.6,0.8701750067050184,2.689930971479212,46.49203522348343,1.774750556563305
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.65,0.8382998671067452,2.5913968552785107,24.71950933182456,1.7097401606008005
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.7,0.8251665876140416,2.550798567586605,14.140157297947074,1.6829544049659244
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.75,0.8236719542766404,2.5461782780192173,9.246855040604231,1.679906051098057
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.8,0.8299998735260098,2.5657394764479697,7.219216882438195,1.6928120506075475
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.85,0.8421392008426459,2.603265206640555,6.529160822230256,1.7175706080764446
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.9,0.8589955393542764,2.6553724111440085,6.415201909968781,1.7519496650760407
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.95,0.8799378882142989,2.7201105067914666,6.5583919186824255,1.7946622746185799
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,1.0,0.9046125343800294,2.7963860771308355,6.837756096444125,1.8449870273156863
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.0,0.687748084844382,2.126003228940759,5.154376494969811,1.4026848472409414
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.05,0.6819548587244677,2.108094902173541,4.950471910834905,1.3908693719613805
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.1,0.6780291636448238,2.0959595860613223,4.782988976744428,1.382862787683722
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.15,0.6759411444605776,2.0895049908023586,4.6487200027064235,1.3786042038577078
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.2,0.6756203797184405,2.0885134258783093,4.545038202917429,1.377949993612358
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.25,0.6770209712536134,2.0928430084563234,4.469715825975476,1.3808065461304295
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.3,0.6801274665375889,2.102445970863577,4.421242885351237,1.3871423454716139
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.35,0.6848821311537058,2.1171438414198898,4.398580954631764,1.3968396403935603
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.4,0.6912684019405209,2.136885419205208,4.400973749182297,1.4098646497835463
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.45,0.6992878816933925,2.161675658865254,4.428273291649842,1.4262206425954402
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.5,0.7089276388167737,2.1914745855684092,4.4806239588164365,1.4458812444146503
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.55,0.7202461510219961,2.2264629687066235,4.558931672943851,1.468965722457464
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.6,0.7332850952789463,2.2667696423319335,4.664529440329218,1.4955590782752144
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.65,0.7480843552860232,2.3125178970407765,4.799052293872046,1.525742655983036
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.7,0.7647006389169481,2.36388303120954,4.964909497118655,1.5596321131551776
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.75,0.783153979176891,2.4209269719225963,5.165078891007092,1.597268307764807
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.8,0.8034676464529307,2.4837216538303775,5.403099007790897,1.638698700532011
RQ1_SD_STATION,RQ1,station,SD,graph_propagation,0.85,0.8257295920072054,2.552538956522832,5.6834329844682125,1.6841026709496818
